Year,Team,2PT Attempts,3PT Attempts,Mid-Range Attempts
2004,Los Angeles Lakers,5561,1115,2295
2004,Portland Trail Blazers,5365,1102,2274
2004,Atlanta Hawks,5280,1249,2274
2004,Boston Celtics,4816,1599,2079
2004,Denver Nuggets,5778,985,2552
2004,San Antonio Spurs,5294,1140,2200
2004,Utah Jazz,5386,786,2508
2004,Memphis Grizzlies,5343,1314,1880
2004,Chicago Bulls,5497,1256,2587
2004,Minnesota Timberwolves,5674,897,3231
2004,Miami Heat,5060,1357,2197
2004,Phoenix Suns,5469,1202,2195
2004,Philadelphia 76ers,5268,992,2305
2004,Los Angeles Clippers,5555,1024,2175
2004,Sacramento Kings,5213,1498,2450
2004,Houston Rockets,4789,1406,2157
2004,New Jersey Nets,5249,1123,2312
2004,Seattle SuperSonics,4654,1936,1960
2004,Washington Wizards,5287,1270,2117
2004,Indiana Pacers,5041,1281,2205
2004,Milwaukee Bucks,5505,1145,2313
2004,Dallas Mavericks,5774,1456,2340
2004,Toronto Raptors,5054,1294,2666
2004,New Orleans Hornets,4939,1666,2151
2004,Golden State Warriors,5228,1283,2074
2004,New York Knicks,5398,1115,2648
2004,Orlando Magic,5520,1248,2746
2004,Cleveland Cavaliers,5967,786,2553
2004,Detroit Pistons,5346,968,2213
2005,Golden State Warriors,5265,1774,2315
2005,Utah Jazz,5539,762,2690
2005,Boston Celtics,5259,1252,2028
2005,Atlanta Hawks,5699,973,2227
2005,Washington Wizards,5296,1498,2109
2005,Toronto Raptors,4975,1681,2265
2005,Philadelphia 76ers,5283,1453,2182
2005,Phoenix Suns,4992,2026,1915
2005,New York Knicks,5359,1240,2455
2005,New Jersey Nets,5216,1203,2633
2005,Cleveland Cavaliers,5783,904,2544
2005,Sacramento Kings,5582,1396,2878
2005,Orlando Magic,5763,916,2741
2005,Memphis Grizzlies,4785,1486,1664
2005,Detroit Pistons,5368,1053,2526
2005,Los Angeles Lakers,4816,1813,1783
2005,Minnesota Timberwolves,5484,1145,2985
2005,Indiana Pacers,4594,1575,2088
2005,San Antonio Spurs,5055,1395,1854
2005,Portland Trail Blazers,5261,1161,2036
2005,New Orleans Hornets,5240,1316,2555
2005,Miami Heat,5108,1260,2045
2005,Seattle SuperSonics,4674,1824,1819
2005,Houston Rockets,4898,1521,2397
2005,Los Angeles Clippers,5699,669,2630
2005,Dallas Mavericks,5418,1273,2474
2005,Chicago Bulls,5159,1433,2143
2005,Charlotte Bobcats,5978,881,2986
2005,Denver Nuggets,5675,940,2507
2005,Milwaukee Bucks,5655,925,2560
2006,Denver Nuggets,5596,1076,2472
2006,Atlanta Hawks,5342,1154,2173
2006,Toronto Raptors,5019,1620,2299
2006,Minnesota Timberwolves,5398,942,2803
2006,Memphis Grizzlies,4547,1578,1651
2006,Seattle SuperSonics,5080,1631,2059
2006,Golden State Warriors,4953,1832,1987
2006,Chicago Bulls,5260,1477,2463
2006,Orlando Magic,5371,796,2314
2006,Portland Trail Blazers,5225,1042,2362
2006,San Antonio Spurs,4980,1362,1897
2006,Houston Rockets,4838,1414,2178
2006,Phoenix Suns,5070,2097,2488
2006,Utah Jazz,5282,925,2389
2006,Indiana Pacers,4738,1536,2021
2006,Detroit Pistons,5107,1451,2723
2006,Los Angeles Lakers,5024,1583,2094
2006,New Orleans/Oklahoma City Hornets,5543,885,2494
2006,Philadelphia 76ers,5515,1031,2267
2006,Boston Celtics,5032,1290,2054
2006,Dallas Mavericks,5262,1113,2275
2006,Los Angeles Clippers,5600,843,2589
2006,Cleveland Cavaliers,4947,1465,1894
2006,Washington Wizards,5262,1394,2226
2006,Miami Heat,4914,1441,1649
2006,New York Knicks,5321,884,1910
2006,Charlotte Bobcats,5582,1261,2481
2006,New Jersey Nets,4870,1447,2222
2006,Milwaukee Bucks,5231,1335,2044
2006,Sacramento Kings,5092,1408,2448
2007,Chicago Bulls,5426,1237,2600
2007,Charlotte Bobcats,5363,1280,2266
2007,Philadelphia 76ers,5585,823,2566
2007,New Jersey Nets,4703,1676,1966
2007,Toronto Raptors,5083,1464,2520
2007,Milwaukee Bucks,5242,1472,1891
2007,New York Knicks,4986,1370,1607
